Distric Number,District,% Eco Disadvantaged,2020 4-Year Graduation Rate,2020 Dropout Rate
92902,KILGORE ISD ,64,92.9,1.4
92903,LONGVIEW ISD ,79,96.6,0.5
92904,PINE TREE ISD ,67.7,97.1,0.3
92906,SABINE ISD ,49.8,99.1,0
92907,SPRING HILL ISD ,42.7,99.2,0.3
92908,WHITE OAK ISD ,42.9,97.8,0
93901,ANDERSON-SHIRO CISD ,42.8,100,0
93903,IOLA ISD ,36.1,97.1,0
93904,NAVASOTA ISD ,79.1,94.6,0.4
93905,RICHARDS ISD ,53.3,100,0
94901,SEGUIN ISD ,67.4,89.4,2.1
94902,SCHERTZ-CIBOLO-U CITY ISD ,28.3,97.3,0.7
94903,NAVARRO ISD ,34.7,94.2,0.2
94904,MARION ISD ,41.2,100,0
95901,ABERNATHY ISD ,48,98.5,2.2
95902,COTTON CENTER ISD ,70.8,100,0
95903,HALE CENTER ISD ,71.8,97.4,0.5
95904,PETERSBURG ISD ,78,100,0
95905,PLAINVIEW ISD ,81,94.5,0.8
96904,MEMPHIS ISD ,81.3,97.4,0
96905,TURKEY-QUITAQUE ISD ,56.9,100,0
97902,HAMILTON ISD ,50.2,96.3,0
97903,HICO ISD ,53.9,97.3,0
98901,GRUVER ISD ,47.6,100,0
98903,PRINGLE-MORSE CISD ,71.4,,
98904,SPEARMAN ISD ,58.6,100,0
99902,CHILLICOTHE ISD ,77.8,100,0
99903,QUANAH ISD ,75.8,97,1.2
100903,KOUNTZE ISD ,55.6,89.2,1.2
100904,SILSBEE ISD ,62.7,95.5,0.4
100905,HARDIN-JEFFERSON ISD ,39.8,96,0.9
100907,LUMBERTON ISD ,35.7,94.4,0.4
100908,WEST HARDIN COUNTY CISD ,64.5,95.6,2.7
101802,SER-NINOS CHARTER SCHOOL ,96.7,,
101803,ARISTOI CLASSICAL ACADEMY ,23.7,100,2.5
101804,GEORGE I SANCHEZ CHARTER ,96.4,82.1,1.6
101806,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS ,95,95.4,0
101807,UNIVERSITY OF HOUSTON CHARTER SCHO ,47.7,,
101810,ACADEMY OF ACCELERATED LEARNING IN ,96.7,,
101811,EXCEL ACADEMY ,100,0,28.7
101814,THE VARNETT PUBLIC SCHOOL ,98.1,,
101815,ALIEF MONTESSORI COMMUNITY SCHOOL ,75.8,,
101819,AMIGOS POR VIDA-FRIENDS FOR LIFE P ,99,,
101821,HOUSTON HEIGHTS HIGH SCHOOL ,76.4,80.5,1.9
101828,HOUSTON GATEWAY ACADEMY INC ,90.2,94.9,0
101837,CALVIN NELMS CHARTER SCHOOLS ,25.3,95.2,0
101838,SOUTHWEST SCHOOL ,90.2,80.5,4.1
